Dia;Mês;Ano;Cepagri;IAC;Viracopos
17;6;1989;22.4;22.2;22
18;6;1989;23.4;22.8;24
19;6;1989;25.6;25.2;26
20;6;1989;25.2;24.4;24
21;6;1989;23.8;23.4;23
22;6;1989;26.2;25.8;27
23;6;1989;27.8;27.4;29
24;6;1989;25.2;25;26
25;6;1989;20.6;21.2;21
26;6;1989;21.0;20.2;21
27;6;1989;23.0;22.2;23
28;6;1989;16.0;16.2;18
29;6;1989;21.8;21.2;22
30;6;1989;23.8;23.2;24
1;7;1989;27.4;27.4;29
2;7;1989;28.0;27.4;31
3;7;1989;22.0;21.6;23
4;7;1989;27.0;26.8;30
5;7;1989;27.2;27.2;26
6;7;1989;13.4;14.6;14
7;7;1989;18.4;18;17
8;7;1989;18.8;17.8;17
9;7;1989;19.8;19.2;18
10;7;1989;21.4;20.8;21
11;7;1989;21.4;21;21
12;7;1989;22.0;21;21
13;7;1989;24.2;23.4;23
14;7;1989;25.0;24.4;25
15;7;1989;23.8;23.4;22
16;7;1989;23.4;22.6;22
17;7;1989;25.4;24.6;25
18;7;1989;25.6;25.2;27
19;7;1989;25.2;24.8;26
20;7;1989;23.8;23.6;23
21;7;1989;25.8;25.2;26
22;7;1989;25.6;25.4;27
23;7;1989;26.8;26.8;27
24;7;1989;28.8;29;29
25;7;1989;23.6;24;24
26;7;1989;22.2;21.6;22
27;7;1989;27.2;26.8;28
28;7;1989;22.0;21;24
29;7;1989;26.4;25.6;25
30;7;1989;20.0;20.8;19
31;7;1989;23.2;22.4;23
1;8;1989;23.8;23.6;25
2;8;1989;25.2;24.8;27
3;8;1989;25.6;24.8;27
4;8;1989;25.0;24.6;27
5;8;1989;24.6;23;22
6;8;1989;23.8;22.8;23
7;8;1989;25.6;24.6;25
8;8;1989;27.0;26.2;28
9;8;1989;26.2;25.6;26
10;8;1989;23.2;22.6;24
11;8;1989;21.0;20.4;22
12;8;1989;21.4;20.8;21
13;8;1989;23.2;22.2;24
14;8;1989;26.4;24.4;26
15;8;1989;26.2;25.4;29
16;8;1989;27.0;26.4;30
17;8;1989;28.6;27.2;28
18;8;1989;29.6;29;31
19;8;1989;29.4;28.6;30
20;8;1989;30.0;29.8;30
21;8;1989;27.8;26.8;28
22;8;1989;30.0;29.2;29
23;8;1989;24.4;24.4;25
24;8;1989;31.4;30;31
25;8;1989;26.4;26.2;24
26;8;1989;27.2;26;26
27;8;1989;30.4;29.4;28
28;8;1989;20.6;20.2;19
29;8;1989;26.4;25.4;26
30;8;1989;28.4;27.8;28
31;8;1989;30.0;29.8;29
1;9;1989;20.8;23.6;23
2;9;1989;21.6;22.2;22
3;9;1989;22.8;22.4;21
4;9;1989;27.2;26.6;26
5;9;1989;22.0;21;19
6;9;1989;26.0;24.8;24
7;9;1989;26.8;26;26
8;9;1989;32.0;31.8;31
9;9;1989;26.2;25.1;25
10;9;1989;27.6;27;28
11;9;1989;31.2;30.6;30
12;9;1989;30.6;30;29
13;9;1989;25.0;24;25
14;9;1989;21.8;21.6;22
15;9;1989;22.2;21.2;22
16;9;1989;23.6;23;22
17;9;1989;21.4;20.8;24
18;9;1989;23.8;23.6;25
19;9;1989;27.4;27;27
20;9;1989;27.8;27;27
21;9;1989;30.0;29;28
22;9;1989;30.4;29.6;30
23;9;1989;32.4;33;33
24;9;1989;32.6;33.2;33
25;9;1989;19.6;21.6;21
26;9;1989;15.8;16.2;17
27;9;1989;23.6;23;23
28;9;1989;24.2;23.4;23
29;9;1989;27.0;26.6;26
30;9;1989;25.4;24.8;26
1;10;1989;28.4;26.2;27
2;10;1989;30.8;30;30
3;10;1989;31.4;31.4;30
4;10;1989;24.4;23.4;22
5;10;1989;27.8;27.2;27
6;10;1989;30.0;29.2;28
7;10;1989;29.6;29.2;30
8;10;1989;28.2;28;27
9;10;1989;25.6;24.8;24
10;10;1989;31.0;29.8;31
11;10;1989;27.4;26.2;25
12;10;1989;24.6;24.2;23
13;10;1989;24.2;23.8;23
14;10;1989;24.4;23;23
15;10;1989;19.8;17.6;17
16;10;1989;27.2;26.2;26
17;10;1989;28.4;27.6;27
18;10;1989;25.6;25.4;25
19;10;1989;26.8;26;25
20;10;1989;28.6;28;27
21;10;1989;27.6;27;26
22;10;1989;28.2;27.4;26
23;10;1989;29.2;28.2;28
24;10;1989;31.6;31;30
25;10;1989;34.2;33.2;33
26;10;1989;33.6;32.6;31
27;10;1989;24.8;24;23
28;10;1989;25.2;25;25
29;10;1989;30.0;30;29
30;10;1989;32.8;31.8;31
31;10;1989;33.0;32.4;31
1;11;1989;24.0;23.2;23
2;11;1989;27.4;27;26
3;11;1989;29.4;29;28
4;11;1989;23.4;22;22
5;11;1989;28.8;27.8;28
6;11;1989;30.2;29.4;28
7;11;1989;30.4;29.8;30
8;11;1989;33.6;32.4;32
9;11;1989;27.8;26.6;26
10;11;1989;27.0;27.2;27
11;11;1989;28.8;28.4;28
12;11;1989;22.0;22.4;21
13;11;1989;27.2;26.4;25
14;11;1989;25.8;25.2;25
15;11;1989;29.4;29;28
16;11;1989;30.4;30;29
17;11;1989;30.6;30.2;30
18;11;1989;29.4;28.4;28
19;11;1989;27.2;26.8;26
20;11;1989;30.4;29.8;29
21;11;1989;25.0;24.6;24
22;11;1989;29.2;28.8;29
23;11;1989;30.6;30.4;29
24;11;1989;30.4;30.4;30
25;11;1989;27.6;27;27
26;11;1989;29.8;29.4;29
27;11;1989;33.0;32;32
28;11;1989;29.8;29.2;28
29;11;1989;29.8;28.8;29
30;11;1989;29.6;28.6;28
1;12;1989;29.0;27.8;28
2;12;1989;28.4;28.2;28
3;12;1989;30.0;29.6;29
4;12;1989;31.2;30.2;30
5;12;1989;32.2;31.6;31
6;12;1989;33.2;32;33
7;12;1989;33.0;32.6;33
8;12;1989;33.2;33;33
9;12;1989;33.6;33;32
10;12;1989;26.4;25.8;25
11;12;1989;26.8;29.4;28
12;12;1989;25.2;28.2;28
13;12;1989;26.8;30.2;30
14;12;1989;25.2;28.6;28
15;12;1989;25.6;28.2;28
16;12;1989;28.4;31.4;31
17;12;1989;26.4;30;29
18;12;1989;24.8;29.2;28
19;12;1989;19.0;24.8;24
20;12;1989;20.2;24.2;24
21;12;1989;24.4;28.2;27
22;12;1989;27.2;30.6;30
23;12;1989;28.4;30.8;31
24;12;1989;28.0;30.2;30
25;12;1989;28.2;31.2;30
26;12;1989;25.2;28.2;28
27;12;1989;22.2;24.8;25
28;12;1989;21.0;23.4;22
29;12;1989;19.8;22.8;23
30;12;1989;22.0;25;24
31;12;1989;23.6;27.8;27
1;1;1990;21.8;24.4;25
2;1;1990;24.2;22.8;23
3;1;1990;26.6;26;25
4;1;1990;27.8;27.8;27
5;1;1990;28.4;28.4;28
6;1;1990;28.4;28.4;27
7;1;1990;30.0;30;29
8;1;1990;28.6;27.8;27
9;1;1990;25.0;24.4;23
10;1;1990;28.4;28;28
11;1;1990;29.2;28.2;28
12;1;1990;31.6;30.6;29
13;1;1990;31.0;30.8;29
14;1;1990;33.2;33;33
15;1;1990;33.4;34;32
16;1;1990;31.4;31.6;31
17;1;1990;33.4;32.6;33
18;1;1990;34.0;33.4;34
19;1;1990;32.2;31.4;31
20;1;1990;32.2;32;32
21;1;1990;32.4;32.2;31
22;1;1990;32.4;31.4;32
23;1;1990;31.2;30.4;30
24;1;1990;33.4;32.2;32
25;1;1990;34.2;33.4;34
26;1;1990;33.6;32.6;33
27;1;1990;32.6;32.6;32
28;1;1990;31.6;31.2;31
29;1;1990;32.6;32;32
30;1;1990;33.8;32.8;32
31;1;1990;34.4;33.4;34
1;2;1990;33.6;33.4;32
2;2;1990;32.4;30.4;31
3;2;1990;33.6;31;33
4;2;1990;34.6;32.2;34
5;2;1990;32.8;31.4;33
6;2;1990;31.4;30.4;29
7;2;1990;31.8;30.8;31
8;2;1990;32.8;32.2;32
9;2;1990;33.8;32.8;34
10;2;1990;32.8;32.2;33
11;2;1990;32.0;31.6;31
12;2;1990;33.8;32.8;33
13;2;1990;30.4;29.4;30
14;2;1990;29.8;29;29
15;2;1990;31.0;30.8;30
16;2;1990;31.6;31.6;31
17;2;1990;31.8;31.8;32
18;2;1990;32.2;32;32
19;2;1990;30.2;30;31
20;2;1990;31.2;31;31
21;2;1990;32.8;32;32
22;2;1990;32.2;31.6;31
23;2;1990;23.8;23.4;23
24;2;1990;27.6;27.4;28
25;2;1990;25.0;23.2;23
26;2;1990;29.8;28.6;28
27;2;1990;28.6;27.6;26
28;2;1990;24.2;23;22
1;3;1990;29.2;28.8;29
2;3;1990;33.0;32.2;31.78
3;3;1990;31.4;30.2;31.78
4;3;1990;32.0;31.2;30
5;3;1990;32.8;31.4;32
6;3;1990;27.8;27;31.5
7;3;1990;31.0;30.6;31
8;3;1990;32.2;31.6;31
9;3;1990;31.4;30.4;31
10;3;1990;31.6;30.8;31
11;3;1990;31.8;31.4;31
12;3;1990;33.0;32;32
13;3;1990;33.8;32.6;32
14;3;1990;33.6;33;33
15;3;1990;32.8;31.6;33.22
16;3;1990;32.2;31.4;32
17;3;1990;32.0;31.4;33
18;3;1990;31.2;31.4;31.22
19;3;1990;24.8;24.4;31.22
20;3;1990;26.8;25.6;25
21;3;1990;28.4;27.4;26.5
22;3;1990;26.0;25.4;26.5
23;3;1990;26.8;25.6;26
24;3;1990;29.6;27.6;27
25;3;1990;30.0;28.2;28
26;3;1990;31.4;30.4;30.28
27;3;1990;25.8;25;24
28;3;1990;31.2;30.2;29
29;3;1990;33.4;32.6;32.61
30;3;1990;32.6;31.6;32.61
31;3;1990;32.8;31.4;31.78
1;4;1990;32.4;31.4;31.22
2;4;1990;31.8;31;30.22
3;4;1990;32.0;31.4;31
4;4;1990;32.4;31.2;31
5;4;1990;32.8;32.2;31.39
6;4;1990;33.4;32.6;32.72
7;4;1990;32.4;33;33
8;4;1990;32.0;32;33
9;4;1990;31.2;29.8;30
10;4;1990;32.0;29.4;30
11;4;1990;29.6;29;29.39
12;4;1990;30.0;29.8;30
13;4;1990;30.6;30.4;30
14;4;1990;30.8;31;30.39
15;4;1990;31.4;31;31.22
16;4;1990;30.2;30;30
17;4;1990;28.0;28.6;29.61
18;4;1990;23.8;22.8;25.5
19;4;1990;20.4;20;20
20;4;1990;26.6;25.8;25.39
21;4;1990;28.6;28.4;29
22;4;1990;29.8;29.4;29
23;4;1990;30.8;30;29.22
24;4;1990;31.6;30.4;30
25;4;1990;31.4;30.4;30
26;4;1990;30.2;29.4;29.78
27;4;1990;30.6;30;30
28;4;1990;31.2;30.4;30
29;4;1990;31.4;30.2;30.61
30;4;1990;24.4;23.4;30.61
1;5;1990;24.8;24.2;24
2;5;1990;23.0;22;23.5
3;5;1990;26.4;25.6;24.5
4;5;1990;26.6;25.4;25
5;5;1990;26.8;25.4;26
6;5;1990;23.2;21.6;24.11
7;5;1990;28.2;26.4;26
8;5;1990;28.4;28;27
9;5;1990;29.2;28.2;27.22
10;5;1990;29.4;27.4;27.22
11;5;1990;21.4;21.2;27.39
12;5;1990;21.6;21.2;20
13;5;1990;25.4;25;24
14;5;1990;27.2;26.6;26
15;5;1990;23.0;22.4;22
16;5;1990;24.6;24;22
17;5;1990;27.2;26.6;26.78
18;5;1990;17.6;17;16.39
19;5;1990;19.6;18.6;18
20;5;1990;24.2;23.4;23
21;5;1990;22.8;22.2;23
22;5;1990;20.2;19.4;21.39
23;5;1990;23.2;22.6;22
24;5;1990;27.4;26.4;25.5
25;5;1990;27.0;26.8;26
26;5;1990;26.6;26.2;26.39
27;5;1990;28.2;27.4;27
28;5;1990;29.1;28.2;28
29;5;1990;28.2;27.4;27.61
30;5;1990;28.8;28.6;28
31;5;1990;28.9;28.4;27.78
1;6;1990;28.0;27.4;27.5
2;6;1990;28.6;27.8;28
3;6;1990;26.2;26;27.78
4;6;1990;28.2;27.6;26.39
5;6;1990;27.9;27.6;27
6;6;1990;27.8;27.2;27
7;6;1990;24.6;23.4;26.5
8;6;1990;27.6;26.6;26
9;6;1990;27.8;27.8;27
10;6;1990;26.8;26.8;28
11;6;1990;17.5;19.8;19
12;6;1990;25.8;24.4;24
13;6;1990;25.2;24.8;24.22
14;6;1990;25.6;25.2;25
15;6;1990;21.2;20;25
16;6;1990;23.2;21.8;22.11
17;6;1990;23.4;22.2;22.11
18;6;1990;25.6;24.8;24
19;6;1990;27.0;26;25
20;6;1990;26.7;26;25
21;6;1990;18.6;19.8;25
22;6;1990;19.2;18;17
23;6;1990;21.8;20.8;20
24;6;1990;24.4;23.4;22.61
25;6;1990;25.2;24;24
26;6;1990;23.4;22.6;23.5
27;6;1990;25.1;24.4;24
28;6;1990;25.2;24.8;24.61
29;6;1990;26.0;25;25.22
30;6;1990;25.2;24;24
1;7;1990;25.6;24;24.61
2;7;1990;26.4;26;26
3;7;1990;27.1;26.4;26
4;7;1990;28.5;27.6;27
5;7;1990;24.4;23.8;23
6;7;1990;25.1;24.2;24.22
7;7;1990;24.0;23.4;24.22
8;7;1990;25.2;24.4;24.22
9;7;1990;27.2;26.6;26
10;7;1990;19.3;20;26
11;7;1990;18.8;18.4;17
12;7;1990;20.4;20;20
13;7;1990;22.4;21.4;21.22
14;7;1990;23.6;23;22
15;7;1990;25.4;25.4;25
16;7;1990;22.8;22.8;19
17;7;1990;23.6;23;22
18;7;1990;24.0;23;22.61
19;7;1990;24.6;27.6;26.61
20;7;1990;22.0;25;26.61
21;7;1990;13.0;19.6;24.5
22;7;1990;12.6;15;15
23;7;1990;16.4;17;16
24;7;1990;25.2;24.6;23.78
25;7;1990;24.2;23.6;22.5
26;7;1990;28.4;27.6;27
27;7;1990;27.4;27;27
28;7;1990;18.0;17.4;25.61
29;7;1990;20.0;19.6;18.39
30;7;1990;19.2;18.2;18.39
31;7;1990;16.8;16.2;17.61
1;8;1990;21.9;21.4;19.22
2;8;1990;24.5;24;23.39
3;8;1990;24.4;23.4;23.39
4;8;1990;24.8;25.2;24.61
5;8;1990;21.6;22.6;24.61
6;8;1990;24.2;23.6;23
7;8;1990;26.7;26.4;26
8;8;1990;28.0;27.2;26.5
9;8;1990;27.6;27;27
10;8;1990;27.5;26.6;27
11;8;1990;26.9;26.4;26
12;8;1990;28.2;27;26.22
13;8;1990;28.6;28;28
14;8;1990;28.9;28;28.22
15;8;1990;29.8;28.6;28.28
16;8;1990;29.1;28.6;28.28
17;8;1990;21.3;21;28
18;8;1990;22.4;23.4;22.28
19;8;1990;27.6;27.8;26.39
20;8;1990;27.7;27;27.22
21;8;1990;25.1;24.6;23
22;8;1990;21.3;20.4;22.5
23;8;1990;16.2;16;16
24;8;1990;22.1;21.6;21
25;8;1990;23.2;23.2;23
26;8;1990;26.4;26.6;26
27;8;1990;26.5;26.4;24
28;8;1990;19.3;18.6;24
29;8;1990;19.7;19;19
30;8;1990;26.8;25.6;25
31;8;1990;26.5;26.4;25
1;9;1990;25.0;24.2;25
2;9;1990;21.3;21;22.5
3;9;1990;24.2;23.8;22
4;9;1990;26.2;25.4;24
5;9;1990;25.8;24.8;24.39
6;9;1990;27.8;27.4;27
7;9;1990;27.4;27.2;27
8;9;1990;21.8;22.4;24.5
9;9;1990;25.6;25.4;25
10;9;1990;29.1;28;28
